"","PUBID_1997","KEY_SEX_1997","KEY_BDATE_M_1997","KEY_BDATE_Y_1997","CV_SAMPLE_TYPE_1997","KEY_RACE_ETHNICITY_1997","YINC-1400","YINC-1700","P2-001","P2-037","CV_CITIZENSHIP","MAR_STATUS.01_XRND","MAR_STATUS.02_XRND","MAR_STATUS.03_XRND","MAR_STATUS.04_XRND","MAR_STATUS.05_XRND","MAR_STATUS.06_XRND","MAR_STATUS.07_XRND","MAR_STATUS.08_XRND","MAR_STATUS.09_XRND","MAR_STATUS.10_XRND","MAR_STATUS.11_XRND","MAR_STATUS.12_XRND","CV_BIO_CHILD_HH","CV_BIO_CHILD_NR","CV_HH_UNDER_6","CV_ENROLLSTAT","YEAR","CV_HGC_EVER_EDT","CV_ENROLLSTAT_EDT","YCCA-6800","YCCA-1100.01","YCCA-1100.02","YCCA-1100.03","YCCA-1100.04","YCCA-6900","YCCA-7000","YCCA-1000.01","YCCA-1000.02","YCCA-1000.03","YCCA-1000.04","YCCA-1000.05","YCCA-1100.05","YCCA-6150.01","YCCA-6150.02","YCCA-6150.03","YCCA-6150.04","YCCA-6150.05","YHHI-55701","YHHI-55704","YCCA-450","YCCA-1100A~000001","YCCA-1100A~000002","YCCA-1100A~000003","YCCA-1100A~000004","YCCA-1100A~000005","YCCA-1100A~000006","YCCA-1100A~000007","YCCA-1100A~000008","YCCA-1100A~000009","YHHI-55705A","YCCAL-6800","YCCAL-6900","YCCAL-7300","YCCAL-7400","YCCAL-1100A.01~000001","YCCAL-1100A.01~000002","YCCAL-1100A.01~000003","YCCAL-1100A.01~000004","YCCAL-1100A.01~000005","YCCAL-1100A.01~000006","YCCAL-1100A.01~000007","YCCAL-1100A.01~000008","YCCAL-1100A.01~000009","YCCAL-1100A.02~000001","YCCAL-1100A.02~000002","YCCAL-1100A.02~000003","YCCAL-1100A.02~000004","YCCAL-1100A.02~000005","YCCAL-1100A.02~000006","YCCAL-1100A.02~000007","YCCAL-1100A.02~000008","YCCAL-1100A.02~000009","YCCAL-1100A.03~000001","YCCAL-1100A.03~000002","YCCAL-1100A.03~000003","YCCAL-1100A.03~000004","YCCAL-1100A.03~000005","YCCAL-1100A.03~000006","YCCAL-1100A.03~000007","YCCAL-1100A.03~000008","YCCAL-1100A.03~000009","YCCAL-450","YCCAL-4500.01.06","YCCAL-4500.02.06","YCCAL-4500.03.06","YCCAL-7000","YCCAL-7100","YCCAL-9000","YCCAL-9100","YCCAL-9200","YCCAL-9300","YCCAL-1100A.04~000001","YCCAL-1100A.04~000002","YCCAL-1100A.04~000003","YCCAL-1100A.04~000004","YCCAL-1100A.04~000005","YCCAL-1100A.04~000006","YCCAL-1100A.04~000007","YCCAL-1100A.04~000008","YCCAL-1100A.04~000009","YCCAL-1100A.05~000001","YCCAL-1100A.05~000002","YCCAL-1100A.05~000003","YCCAL-1100A.05~000004","YCCAL-1100A.05~000005","YCCAL-1100A.05~000006","YCCAL-1100A.05~000007","YCCAL-1100A.05~000008","YCCAL-1100A.05~000009","YCCAL-4500.01.05","YCCAL-4500.02.05","YCCAL-4500.03.05","YCCAL-1100A~000001","YCCAL-1100A~000002","YCCAL-1100A~000003","YCCAL-1100A~000004","YCCAL-1100A~000005","YCCAL-1100A~000006","YCCAL-1100A~000007","YCCAL-1100A~000008","YCCAL-1100A~000009","INCOME","N_CHILDREN","WORK_EDU_HRS","SPOUSAL_CHILDCARE","RELATIVE_CARE","SIBLING_CARE","SELF_CARE","NON_RELATIVE_CARE","FAMILY_DAY_CARE","CHILDCARE_CENTER","FORMAL_SCHOOL","AFTER_SCHOOL_CARE","FAMILY_CARE","FORMAL_CHILDCARE","CHILDCARE_TYPE","MARRIED_OR_COHABITATING","FULL_TIME","PART_TIME","ANY_CHILDREN","BA_ABOVE","RELATIVE_CARE_CAT","Relative_within_15_minutes","INCOME_LOG"
"1",1,2,9,1981,1,4,1,47000,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2,6,2010,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47000,0,NA,0,0,0,0,0,0,0,0,0,0,0,"Self/Spouse",0,NA,NA,0,1,"No",NA,10.7579028806922
"2",1,2,9,1981,1,4,1,50000,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2,6,2011,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50000,0,NA,0,0,0,0,0,0,0,0,0,0,0,"Self/Spouse",0,NA,NA,0,1,"No",NA,10.8197782844103
"3",1,2,9,1981,1,4,1,70000,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,6,2013,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70000,0,NA,0,0,0,0,0,0,0,0,0,0,0,"Self/Spouse",0,NA,NA,0,1,"No",NA,11.1562505210315
"4",1,2,9,1981,1,4,1,120000,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,6,2015,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120000,0,NA,0,0,0,0,0,0,0,0,0,0,0,"Self/Spouse",0,NA,NA,0,1,"No",NA,11.6952470217642
"5",3,2,9,1983,1,2,1,26000,NA,NA,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,5,2009,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26000,1,0,0,0,0,0,0,0,0,0,0,0,0,"Self/Spouse",1,0,0,1,0,"No",NA,10.1658518170036
"6",4,2,2,1981,1,2,1,23500,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,9,2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23500,1,46,1,0,0,0,0,1,0,0,0,1,0,"Informal",0,1,1,1,0,"No",NA,10.0647557001323
"7",4,2,2,1981,1,2,1,25000,NA,NA,NA,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,9,2006,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,1,40,0,1,0,0,0,1,0,0,0,1,0,"Informal",1,1,1,1,0,"Yes",NA,10.1266311038503
"8",4,2,2,1981,1,2,1,32000,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4,2007,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32000,1,35,0,0,0,0,0,0,1,0,0,0,1,"Formal",1,1,1,1,0,"No",NA,10.3734911817819
"9",4,2,2,1981,1,2,1,65000,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,4,2009,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65000,2,40,1,1,0,0,0,0,0,0,0,1,0,"Informal",1,1,1,1,0,"Yes",NA,11.0821425488778
"10",4,2,2,1981,1,2,1,41000,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,4,2010,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41000,2,40,0,0,0,0,0,1,0,1,1,1,1,"Both",1,1,1,1,0,"No",NA,10.6213273456864
